year,country,"Stocks traded, total value (% of GDP)","Inflation, consumer prices (annual %)","Stocks traded, turnover ratio of domestic shares (%)",Tax revenue (% of GDP),GDP per capita (current US$),"Central government debt, total (% of GDP)",Gini index (World Bank estimate),Broad money (% of GDP),"Total reserves (includes gold, current US$)","International migrant stock, total",Income share held by highest 10%,Poverty headcount ratio at national poverty lines (% of population),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Exports of goods and services (% of GDP),timestamp
2012,ABW,,0.627471992893334,,,24712.4932628907,,,75.3625743883624,7.686223E8,,,,75.299,,,65.2413489089707,1635698014938
2013,ABW,,-2.37206524252253,,,26441.6199357378,,,67.4196284097139,6.5317067E8,,,,75.441,,,76.5483116318725,1635698019997
2014,ABW,,0.42144091888116,,,26893.0115056581,,,69.5869581753616,6.80351E8,,,,75.583,,,78.2755038498016,1635698025010
2015,ABW,,0.474763597342612,,,28396.9084228616,,,71.7418357342183,8.1580056E8,36114.0,,,75.725,,,72.8529594472398,1635698030019
2016,ABW,,-0.931195987079616,,,28452.1706146796,,,78.0120995148585,9.2255089E8,,,,75.868,,,71.8203884851331,1635698035077
2017,ABW,,-1.02828178762002,,,29350.8050189137,,,76.5953987480693,9.07111452513966E8,,,,76.01,,,72.5486645884887,1635698040086
2018,ABW,,3.62604141352956,,,30253.2793580195,,,76.3601346102886,9.8024768E8,,,,76.152,,,73.7993971442039,1635698045100
2019,ABW,,4.25746204335428,,,,,,,9.823E8,,,,76.293,,,,1635698050161
2020,ABW,,,,,,,,,1.21257872E9,,,,,,,,1635698055172
1990,AFG,,,,,,,,,6.37925667368511E8,57686.0,,,50.331,120.4,,,1635698060186
1991,AFG,,,,,,,,,5.76118920253472E8,,,,50.999,116.8,11.38,,1635698065244
1992,AFG,,,,,,,,,,,,,51.641,113.3,11.46,,1635698070282
1993,AFG,,,,,,,,,,,,,52.256,109.9,11.61,,1635698075295
1994,AFG,,,,,,,,,,,,,52.842,106.7,11.65,,1635698080353
1995,AFG,,,,,,,,,,71522.0,,,53.398,103.7,11.65,,1635698085362
1996,AFG,,,,,,,,,,,,,53.924,100.8,11.65,,1635698090373
1997,AFG,,,,,,,,,,,,,54.424,98.1,11.64,,1635698095427
1998,AFG,,,,,,,,,,,,,54.906,95.3,11.64,,1635698100436
1999,AFG,,,,,,,,,,,,,55.376,92.7,11.69,,1635698105448
2000,AFG,,,,,,,,,,75917.0,,,55.841,90.2,11.65,,1635698110504
2001,AFG,,,,,,,,,,,,,56.308,87.6,11.63,,1635698115512
